,0
Botanisk interesse,botanisk_interesse
Donor,donor
Anledning,anledning
Bemærkninger særligt træ,saerlig_trae_bem
Lokation,lokation
Bemanding,bemanding
Betaling,betaling
Rettet af,rettet_af_init
Undernummer.,undernummer
Asset nummer,asset_nummer
Installations dato,installations_dato
Lampearm,lampearms_data
Armatur,armatur_data
Lyskilde,lyskilde_data
Watt,watt
Yderlig information,yderlig_information
Maste data,maste_data
Nummer,nummer
Lampearms data,lampearms_data
Armatur data,armatur_data
Lyskilde data,lyskilde_data
Maste,maste_data
wkt,shape_wkt
Maksimalt etageantal,max_etageantal
Plannavn,plannavn
Ramme ID,omraade
navn,''
Læs om områdetypen '+ omraade_type,rammetype
Centertype.,type
Særlige forhold,saerlige_forhold
KP19 ramme,kp19_ramme
Særlige bemærkninger,sbemaerk
Link til tillæg,link_till
Kommuneplanstema,kp_tema
Retningslinjenavn,ret_navn
Objektnavn,obj_navn
if obj_type ='Byomdannelsesområde' then 'Områdenavn:' else 'Delområde:' endif,delomraade
Sikringsniveau,sikr_niv
Rute nr,rute_nr
Kommunenavn,kom_navn
Knudenavn,knudenavn
Type afløb,typeafloeb
Type beskrivelse,type
Transportkode,transport
Rørbetegnelse,roerbetegnelse
Kote opstrøm,bundloebskoteopst
Kote nedstrøm,bundloebskotenedst
Tilladelse til tilslutning,tilladtilslut
Tændskabs nummer,taendskabs_nummer
Udstyrbetegnelse,anvendtudstyrbetegnelse
Udstyr id,udstyrid
Original diameter,original_diameter
Systemid,systemid
Netværk,network
Dimension,dimension
Ledningsfunktion,lednfunktion
Afløbskategori,kategoriafloeb
Bygværk bemærkning,bygvaerk_bemaerkning
Bygværknavn,bygvaerknavn
Driftansvarlig,driftansvarlig
Forventet dato,forventet_
Forventet1 dato,forvente1
Nominel dimension,nomineldim
Ventilfunktion,ventilfunktion
Egenartsanalyse,projekt
Rumlighed almene m2,rumlighed_m2
Restrumlighed almene m2,restrum_m2
Byggefelt nr,delnr
Delområde nr,delnr
Forslag TMU,forslag_tmu
Byplanenhed,cbp_enhed
Vedtaget plandokument for: ' + plantype + ' ' + plannr + ' ' + plannavn,link
plannavn + ' på blivhoert.kk.dk,blivhoert_id
Startredegørelse for: ' + plannavn,startredegoerelse_link
Aktivitets Type id,aktivitets_type_id
Aktivitetsnavn,aktivitets_navn
Aktivitet etableret,aktivitet_etableret
Aktivitet lukket,aktivitet_lukket
Aktivitetsbeskrivelse,aktivitetsbeskrivelse
Lokalitetsnavn,lokalitetsnavn
Godkendelsesmyndighed,godkendelsesmyndighed
Tilsynsmyndighed,tilsynsmyndighed
Grønt regnskab,groent_regnskab
Aktiv/Inaktiv,aktivinaktiv
Jordstykke Id,TOSTRING(jordst_id)
Omfang,TOSTRING(omfang)
Forureningstype,TOSTRING(forur_type)
Ordningstype,type
Antal boligenheder,boligenheder
Antal erhvervsenheder,erhvervsenheder
Dagrenovations materiel,materiel_dagrenovation
Aftager,aftager
Prøvestednavn,provestednavn
Antal rør,antal_sager_roer
BBR nr.,bbr_nr
Gyldigt fra,valid_fra
Gyldigt til,valid_til
Varmekilde,varmekilde
Baseret på,energi_label_type_baseret_paa
Energimærkning Nr.,energi_label_serialnr
Energi forbrugstype,energi_label_type_forbrug
Program version,skema_version
Selskabsnavn,selskabsnavn
Selskabs konsulent,selskabs_konsulent
Samlet bygnings areal,byg_arl_saml
Kulturstyrelsens bygnings SAVE id,byg_save_id
Samlet bolig/erhvervs areal,samlet_byg_areal
Omregnet fra MWh til KWh/m2,forbrug_kwh_per_m2
Forsyningsart,forsyningsart
Entitets type,entitetstype
Leverancested id,leverancestedid
Opførsels / Ombygningsår,opf_renov_aar
Varmeforbrug pr m2,sbi_energiforbrug
Bygnings årstal,aarstal
Anvendelse SBI,sbi_anvendelse
Samlet opvarmet areal pr m2,samlet_opvarmet_areal
Bygning BBR Ident.,byg_id
Ejendomens Ejer,ejer_navn
Ejendomens Administrator,admin_navn
Frednings SAVE status,bevaringsvaerdi
Fredet,fredet
Ny adresse,ny_adresse
Kubetype,kubetype
Papirkurv,papirkurv
Sorteringsvejledning,sorteringsvejl
Afstand fra kantsten,afst_fra_kantsten
Afstand fra vejkryds,afst_fra_vejkryds
Spærreflade,spaerreflade
Trafikregulering,trafikregulering
Begrænset afhentningstid,begr_afhentningstid
Krav til afhentning,krav_til_afhentning
Billednummer,billednummer
GPS dato,gps_date
X-koordinat,x
Y-koordinat,y
Karre nr,id
Værk,vaerk
DGU nr.,dgu_nr
dato for overtagelse,dato_overtagelse
Tidligere ejer,tidligere_ejer
Sags nr.,SAGSNR
Kontakt telefonnr.,telefon
Hovedprojekt navn,hovedprojekt_navn
Hovedprojekt nr,hovedprojekt_nummer
Projektstatus,projektfase
Prøvestednr.,provestednr
Lokal taphane,lokal_taphane
Antal prøver pr. uge,antal_proever_pr_uge
Anmeldt af,anmeldernavn
Antal beboere,antal_befolkning
Antal enheder,enheder
"Døgnværdien i 1,5m",fnm_1_5m_l
Døgnværdien i 4m,fnm_4m_lde
Indvindingstype,indvindingstype
Områdemester,omraade_mester
Lokalnummer,lokalnr
"Antal enheder 1,5m",antal_etage_1
"Gennemsnit af døgnværdi 1,5m",gennemsnit_lden_etage_1
Antal enheder 4m,antal_etage_2
Gennemsnit af døgnværdi 4m,gennemsnit_lden_etage_2
Bygnings FOT_id,fot_id
Retning,retning
Etage niveau,floor
Antal boliger mellem 40 og 59  m2,bolig_antal_40_59_m2
Antal boliger,antal_boliger
Antal boliger mellem 100 og 119 m2 :*,bolig_antal_100_119_m2
Antal boliger mellem 60 og 79 m2,bolig_antal_60_79_m2
Antal boliger mellem 80 og 99 m2,bolig_antal_80_99_m2
Antal boliger under 40 m2,bolig_antal_u_40_m2
Område nr.,omraade_nr
Dansk artsnavn,artsnavn_dansk
Antal individer,antal_individer
Lokalitet type,lokalitet_type
Lokalitet beskrivelse,Lokalitet_beskrivelse
Observationsår,observation_aar
Observation mnd/dato,observation_mnd
Datakilde,datakilde
Ældre kilder,aeldre_kilder
Latinsk artsnavn,artsnavn_latin
Bemærkninger.,lokalitet_bemaerkning
Max antal,max_antal
Obs ynglende,obs_ynglende
Rødliste,roedliste
EU habitatsdirektiv,eu_habitatdirektiv
EFfuglebeskyt. dir.,ef_fuglebesk_direktiv
Ansvar,ansvar
Bevaringsstatus,bevaringsstatus
Observationer,observationer
Dato bem.,dato_bem
GISID,gisid
Aggregering_lok,aggregering_lok
Datakilde ID,datakildeid
Punkt flade,punkt_flade
KK lokalitetsnavn,kk_lokalitetsnavn
Lokalitetsnavn 2,lokalitetsnavn2
Antal arter,antal_arter
Rødlistet forekomst,roedliste_forekomst
EU habitatsdirektiv forekomst,eu_habitatdir_forekomst
EF fuglebeskyt.dir. forekomst,ef_fugleb_dir_forekomst
KK prioriteret forekomst,kk_prioriteret_forekomst
Fredet forekomst,fredet_forekomst
Arbejdssted,arbejdssted_navn
Udviklingsmål,udviklingsmaal
Periode,periode
Udført,udfoert
Kronelag nuværende dominans,kronelag_nuv_dom
Kronelag fremtidig dominans,kronelag_fremt_dom
Mellemlag nuværende dominans,mellemlag_nuv_dom
Mellemlag fremtidig dominans,mellemlag_fremt_dom
Busklag nuværende dominans,busklag_nuv_dom
Busklag fremtidig dominans,busklag_fremt_dom
Udviklingstiltag 1,udviklingstiltag_1
Fokusart 1,fokus_art_1
Udviklingstiltag 2,udviklingstiltag_2
Fokusart 2,fokus_art_2
Plantet halvaar,plantet_halvaar
Garantiperioden udløber,garantiperioden_udloeber
Træ-id,id
Plantemetode,plantemetode
Iræ-id,id
vejkode,vejkode
Samlet vejlængde,samlet_laengde
Antal nuværende træer,antal_traeer
Antal træer ved 15m vej pr. træ,antal_traeer_15m
Potentiale ud fra eksist. træer,potentiale_nye_traeer
Antal udpegede pot. træer,antal_pot_traeer
Potentiale inkl. udpegede pot. træer,potentiale_inkl_pot_traeer
Projekt_navn,pr_navn
Ejerforhld,ejer_forh
Rækkefølge,raekkefoel
Antal potentielle vejtræer,c_vejtraer
Antal potentielle parktræer,c_parktrae
Typelogi_p,typelogi_p
Q_value m3,qvalue_m3
Benævnelse i lokalplanen,benaevnelse_i_lokalplan
Lokalplan nr.,lokalplan_nr
Centernavn,center
Enhedschef,enhedschef
Enhedschef tlf.,enhedschef_tlf
Driftskoordinator,driftskoordinator
Driftskoordinator tlf.,driftskoordinator_tlf
Byrumsforvalter 1,byrumsforvalter
Byrumsforvalter 1 tlf.,byrumsforvalter_tlf
Byrumsforvalter 2,byrumsforvalter_2
Byrumsforvalter 2 tlf.,byrumsforvalter_2_tlf
"Flagermus, art",flagermus_art
"Flagermus, adfærd",flagermus_adfaerd
"Flagermus, obs til reg.",flagermus_obs_til_reg
"Flagermus, reg.år",flagermus_reg_aar
Driftsaftale eDoc-nr,driftsaftale_edoc_nr
Andre vækstforhold,andre_vaekstforhold
Fredning eDoc-nr.,fredning_edoc_nr
r_tidsstempel,r_tidsstempel
Foto 1,r_img01
Foto 2,r_img02
Foto 3,r_img03
Foto 4,r_img04
Foto 5,r_img05
Foto 6,r_img06
Foto 7,r_img07
Foto 8,r_img08
Foto 9,r_img09
Foto 10,r_img10
Foto 11,r_img11
Foto 12,r_img12
Foto 13,r_img13
Foto 14,r_img14
Foto 15,r_img15
Plantehalvår,plantet_halvaar
garantiperioden udløber,garantiperioden_udloeber
Antal bede,antal_bede
Omgivelser,r_omgivelser
Primær tagkonstruktion,tagkonstruktion
Sekundær tagkonstruktion,supp_tag_konst
Bygnings anvendelse,anvendelse
potentiel grøn forbindelse,pgroen_fb
antal potentielle vejtræer,c_vejtrae
antal potentielle parktræer,c_parktrae
Grøn forbindelse,groen_fb
adresse,adresse
"begrundelse 1, myndigt træ",begr_1_myndigt
"begrundelse 2, lokalt",begr_2_lokalt
"begrundelse 3, arkitektonisk",begr_3_arkitektonisk
"begrundelse 4, biologisk",begr_4_biologisk
"begrundelse 5, mikroklima",begr_5_mikroklima
"begrundelse 6, sanselig",begr_6_sanselig
"begrundelse 7, historisk",begr_7_historisk
foto,billed_url
kategori,kategori
Forslag,forslag
Antal,antal
Kriterie,kriterie
Privat eje,privat_eje
Billed Id,billed_id
Plejehandling,aktion
Densitet,densitet_tekst
Vegetation,vegetation
Kirkegårdsnr,kirkegaard_nr
Afdelingsnr,afdeling_nr
Afdelingsnavn,afd_navn
Initialer,initialer
Række nr,raekke_nr
Gravsted nr,gravsted_nr
Gravstedsnøgle,gravstedsnoegle
Gravstedstype,gravsted_type
I brug,i_brug
Oprindelse,oprindelse
Oprindelsesdato,oprindelses_dato
Pleje,pleje
Plejetidspunkt,plejetidspunkt
Objekt_type,objekt_type
Enhedsområde,enhedsomraade
Ønske til træer,oenske_til_traer
Plantes i belægning,plantes_i_belaegning
Plantes i jord,plantes_i_jord
Budgetønske,budgetoenske
Financieret,financieret
Parktype,parktype
Parknummer,parknummer
"Fredning, bygninger",fredning_bygning
"Fredning, fortidsminder",fredning_fortid
Udviklingsplan,udviklingsplan
Udviklingsplan år,udviklingsaar
Besøgstal,besoegstal
Brugerundersøgelse,brugerunder
Oplandsanalyse 300m,opland_300
Oplandsanalyse 875m,opland_875
Link til uderligere information,link
Areal_id,areal_id
Park_id,park_id
Key_field,key_field_arealer
eDoc-link,edoc_link
Dokument-link,dokument_link
Størrelse,stoerrelse
Lokalitet/Vejnavn,vejnavn
Park,navn
Antal Parktræer,antal_parktrae
if ((length(fredet_beskyttet_trae) > 0 and fredet_beskyttet_trae != 'Ikke registreret') or saerligt_trae ='ja') then 'Historien bag:' else 'Bemærkninger:' endif,bemaerkning
Om fredningen,saerlig_trae_bem
Link til foto af træet,fredet_trae_foto
Tidsstempel,r_tidsstempel
Registreret af,r_registrant
Risikofaktor,r_risikofaktor
Ændringer i rodzonen,r_aendringer_rodzone_andet
Gravearbejde i rodzonen,r_gravearbejde_i_rodzonen
Graveansvarlig,r_graveansvarlig
Terrænændring,r_terraenaendring
Terrænændring dato,r_terraenaendring_dato
Belægningsændring rodzonen,r_belaegningsaendring_rodzonen
Belægningsændring rodzonen dato,r_belaegningsaendring_dato
Beplantningsændring,r_beplantningsaendring
Ændring i græspleje,r_aendring_i_graespleje
Ændring i græspleje dato,r_aendring_i_graespleje_dato
Grundvandsændring,r_grundvandsaendring
Grundvandsændring dato,r_grundvandsaendring_dato
Sygdomme skadedyr,r_sygdomme_skadedyr_andet
Sygdomme,r_sygdomme
Skadedyr,r_skadedyr
Stammestruktur,r_stammestruktur_andet
Tvege,r_tvege
Flerstammet,r_flerstammet
Hældning,r_haeldning
Kronestruktur,r_kronestruktur_andet
Ensidig,r_ensidig
Spidse grenvinkler,r_spidse_grenvinkler
Lange tunge grene,r_lange_tunge_grene
Stammeagtige sidegrene,r_stammeagtige_sidegrene
Svag grensammenhæftning,r_svag_grensammenhaeftning
Kronen,r_kronen_andet
Unormal bladstørrelse,r_unormal_bladstoerrelse
Tidligt bladtab / høstfarver,r_tidligt_bladtab_hoestfarver
Grene med mange sår,r_grene_mange_saar
"Sår kritiske steder, krone",r_saar_kritiske_steder_krone
"Dårlig sårheling, krone",r_daarlig_saarheling_krone
"Døde grene, brækket/revne",r_doede_grene_braekket_revne
Revner i grene,r_revner_i_grene
Mængden af døde grene,r_maengden_af_doede_grene
Størrelse på defekte grene,r_stoerrelse_defekte_grene
Toptørhed,r_toptoerhed
Tyndløvet,r_tyndloevet
Beskæring,r_beskaering
Dødt træ stående,r_doedt_trae_staaende
Stammen,r_stammen_andet
Død bark,r_doed_bark
Unormal bark,r_unormal_bark
Slimflåd,r_slimflaad
Indsunken bark,r_indsunken_bark
Indvokset bark,r_indvokset_bark
Store gamle sår,r_store_gamle_saar
Mange sår på stammen,r_mange_saar_paa_stammen
"Sår på kritiske steder, stamme",r_saar_kritiske_steder_stamme
"Dårlig sårheling, stamme",r_daarlig_saarheling_stamme
Revner,r_revner
Defekter,r_defekter
"Stammeråd/hulhed, åben skal",r_stammeraad_hulhed_aaben
"Stammeråd/hulhed, lukket skal",r_stammeraad_hulhed_lukket
Rodzonen,r_rodzonen_andet
Overfladisk rodnet,r_overfladisk_rodnet
Omvoksende rødder,r_omvoksende_roedder
Rodskader,r_rodskader
Rodkageløsning,r_rodkageloesning
Svamp,r_svamp
Honningsvamp,r_honningsvamp
Krumskællet skælhat,r_krumskaellet_skaelhat
Kulsvamp,r_kulsvamp
Kæmpe poresvamp,r_kaempe_poresvamp
Lakporesvamp,r_lakporesvamp
Skællet_stilkporesvamp,r_skaellet_stilkporesvamp
Svovlporesvamp,r_svovlporesvamp
Tøndersvamp,r_toendersvamp
Østershat,r_oestershat
Fløjlsfod,r_floejlsfod
Lædersvamp,r_laedersvamp
Ukendt svamp,r_ukendt_svamp
Ukendt svamp beskrivelse,r_ukendt_svamp_beskrivelse
Tilsynsaarsag andet,r_tilsynsaarsag_andet
Tilsynsårsag kronesymptomer,r_kronesymptomer
Tilsynsårsag struktur,r_struktur
Tilsynsårsag svamp,r_svamp
Tilsynsårsag skade på rødder,r_skade_paa_roedder
Rådmåling,r_raadmaaling_andet
Rådmåling dato,
Næste rådmåling år,
Undersøgelse med lift,r_undersoegelse_lift_andet
Undersøgelse med lift dato,r_undersoegelse_lift_dato
Handling,handling
"Handling, beskrivelse",r_handling_andet
Tid for handling,r_tid_for_handling
Tilsynsfrekvens,r_tilsynsfrekvens
Næste tilsyn halvår,r_naeste_tilsyn_halvaar
Skader,r_skader_andet
Materiel,r_materiel
Person,r_person
Link til edoc-sag,r_link_til_edoc_sag
Generelt for beplantning,r_generelt_beplantning_andet
Handling for beplantning,r_handling_for_beplantning
Driftsområde,omraade
Træ ID,id
Flagermusetræ,er_flagermusetrae
Omkreds,torso_omkreds
Torso eller stynet træ,torso_stamme
Sidst stynet,torso_sidst_stynet
Frekvens for styning,torso_frekvens_styning
Næste styning,torso_naeste_styning
Træ skæres ned til,torso_skaeres_ned_til
Fældningsår,faeldningsaar
Brugerident,val02
Enhed,kontaktperson
budgetår,val06
Reg. dato,reg_dato
Lokaludvalg,lokaludvalg
bemærkning til begrundelser,bemaerk_begrundelser
Træ historie,trae_historie
Slægtsnavn,slaegtsnavn
Driftscenter,omraade
Fritrumsprofil,fritrumsprofil
Afgrænsning,afgraensning
Omgivelse,omgivelse
Vækstmedie,vaekstmedie
Fredningsmyndighed,fredningsmyndighed
if ((length(fredet_beskyttet_trae) > 0 and fredet_beskyttet_trae != 'Ikke registreret') or saerligt_trae='ja' )then 'Historien bag:' else 'Bemærkninger:' endif,bemaerkning
Stammeomfang,stammeomfang
Kronediameter,kronediameter
Beskyttelse,beskyttelse
Sundhed,sundhed
Skudtilvaekst,skudtilvaekst
Registrering_type,registrering_type
Driftstatus gadetrae,driftstatus_gadetrae
Tilsynsaarsag,r_tilsynsaarsag_andet
Kronesymptomer,r_kronesymptomer
Struktur,r_struktur
Skade på rødder,r_skade_paa_roedder
Projektstart,fk_proj_start
Afslutningsdato,fk_proj_slut
Overordnet startstidspunkt,fk_oo_start
Overordnet sluttidspunkt,fk_oo_slut
Bygherre,fk_bygherre
Linjeføring,linjefring
Forventet ibrugtagning,dato_for_ibrugtagning
Korridor,navn
Fra kryds,frakryds
Til kryds,tilkryds
Prioritering,prioritering
Læs mere om projektet her,link
CUA Projektnavn,projektid
CUA Projektnr,beskrivelse
CUA Projekt beskrivelse,beskrivelse
******TRAFIK******,fk_projektnavn
******BYRUMSPROJEKTER******,projektnavn
JCD nr,jcdnr
Familie,familie
Subfamilie,subfamilie
Rapporteringsenhed,rapporteringsenhed
Antal reklameflader,samlet_ant_infoflader
Antal kommunal info-flade,analoge_kommunalflader
Reklamezone,reklamezone
Farve,kurv_farve
Låg,kurv_laag
Pantholder,kurv_pantholder
Tilstand,stativ_tilstand
Tømningsrute basis,tomn_rute_basis
Tømningsrute weekend,tomn_rute_weekend
Tømningsrute middag,tomn_rute_middag
Tømningsrute eftermiddag,tomn_rute_efterm
Tømningsfrekvens,tomningsfrekvens
Reg. metode,reg_metode
Kundeforholdnr.,kundeforholdnr
Kundeforholdsnavn,Kundeforholdsnavn
Kundeforholdstype,kundeforholdstype
Gårdoptimering gennemført,gaardoptimering_gennemfoert
Specielle forhold,specielle_forhold
Standpladsnr.,standpladsnr
Materiel.,materiel
Affaldsfraktion,affaldsfraktion
Affaldsordning,Affaldsordning
Opstilletdato,opstilletdato
Fraktion,fraktion
Affaldsordning.,Affaldsordning
Rute.,rute
Tømninger pr.år,toemninger_pr_aar
Låsetype,laasetype
Hjælpemidler.,hjaelpemidler
Dispensationer,dispensationer
Standpladsforhold,standpladsforhold
Udformning,stativ_udformning
Cykler retning,cykler_retning
Overflade,pullert_overflade
Montage,pullert_montage
Driftsbydel,navn
Bydel nr,bydel_nr
matrikelnr.,matrnr
ejerlav,ejerlav
vejnavn,vejnavn
ejendomsnr,ejendomsnr
renholdsordning,renholdsordning_basis
geometrisk længde,geometrisk_laengde
afregnet facadelængde,afregnet_facadelaengde
afvigelsesårsag,afvigelsesaarsag
bidragskode,bidragskode
facademeterpris,facademeterpris
afgift 2018,afgift_2018
vej,vejnavn
husnr,husnr
afregnet længde,afregnet_facadelaengde
manuel beregning,manuel_beregning
manuelt beregnet pris,manuelt_beregnet_pris
bemærkning,bemaerkning
ejer,ejer_navn
ejer adresse,ejer_adresse
ejer c/o navn,ejer_conavn
ejer udv. adresse,ejer_udvidede_adresse
ejer postdistrikt,ejer_postdistrikt
administratorkode,administratorkode
administrator navn,admin_navn
administrator adresse,admin_adresse
administrator c/o navn,admin_conavn
administrator udv. adresse,admin_udv_adresse
administrator postdistrikt,admin_postdistrikt
rettet dato,rettet_dato
rettet af init,rettet_af_init
renholdsordn. 2019 dispensation indregnet,renholdsordning_disp_2019
geometrisk areal,geometrisk_areal
afregnet areal,afregnet_areal
kvadratmeterpris 2019,kvadratmeterpris
afgift 2019,afgift_2019
med i renholdsordning fra,renhold_fra_aar
bemaerkning,bemaerkning
renholdsordn. 2017 dispensation indregnet,renholdsordning_disp_2017
renholdsordn. 2018 dispensation indregnet,renholdsordning_disp_2019
renholdsordn. 2020 dispensation indregnet,renholdsordning_disp_2020
renholdsordn. 2021 dispensation indregnet,renholdsordning_disp_2021
Driftes af,driftes_af
Fakturering,fakturering
BBRnr,bbr_nr
Udbudstatus,udbud_status
Hotspot nr,hotspot_nr
Elementer,elementer
Udbud_status,udbud_status
Underelement,under_element
Hovedtavle 1,hovedtavle_1
Hovedtavle billede,h1
Undertavle 1,undertavle_1_1
Undertavle billede,u11
Sagsnr.,sagsnr
Ejendomsselskab,ejendomsselskab
Ejerlavsnavn.,elavsnavn
Green team-navn.,green_team_navn
ogc_fid,ogc_fid
Eksisterer,eksisterer
Er problematisk,er_problematisk
Tjekket,tjekket
Læskærm type,laeskaerm_type
AFA nr,afa_nr
AFA udstyrstype,afa_udstyrstype
Antal dobbelte infostandere,ant_dob_infostander
Antal infoflader dob. infostandere,ant_infoflader_dob_infostander
Antal analoge Mupi,ant_analog_mupi
Antal infoflader analog Mupi,ant_infoflader_analog_mupi
Antal digital reklamestander,ant_digital_mupi
Antal infoflader digital rekl.,ant_infoflader_digital_mupi
Antal reklametoiletter,ant_reklametoilet
Antal infoflader reklametoilet,ant_infoflader_reklametoilet
Antal læskærme,ant_infoflader_laeskaerm
Vinkelret på køreretning,vinkelret_koer_retn
Stopnavn,stopnavn
Stopgruppe,stopgruppe
Påstigere,paastigere
Afstigere,afstigere
POMS,poms
Passagerbe,passagerbe
Planlagte t,planlagtet
Målte ture,maalteture
Planlagt op,planlagtop
StopNr.,stopnr
ObjectId.,objectid
Team,navn
Teamkategori,kategori
Vejplads,vejplads
Område nr,omraade
Center,enhed
Toilettype,toilet_type
Design,design
Rengøringsansvarlig enhed,rengoeringsansvarlig_enhed
Antal rengøringer pr. dag,rengoeringsfrekvens
Alarm,alarm
Graffitiafrensningsfrekvens,graffiti_afrensningsfrekvens
Aftenlåsning,aftenlaasning
Renholdstype,renhold_type
lp navn,lp_navn
Antal P-pladser,antal_p_pl
Belasningszone,zone
Servitut,servitut_type
Servitut paragraf,servitut_paragraf
Belasning i kpa,belasning_i_kpa
Belasning i kg pr. m2,belasning_pr_m2
BygID BBR,byg_id_bbr
kommentar,kommentar
created,created
Primære boligtype,primboligtype
Kommunegennemsnittet,pct_bilejer_kom_snit_over_18
Pct. point afv. fra Kommunegennemsnittet,pct_afv_fra_kommune_snit
Distriktnummer,udd_distrikt_nr
Distriktnavn,udd_distrikt_navn
Indikator ikke-vestlig herkomst,indikator_herkomst_ikke_vest
Indikator lav uddannelse,indikator_ingen_udd
Indikator lav indkomst,indikator_lav_indkomst
Indikator udenfor arbejdsmarkedet,indikator_uf_arbejdsstyrken
Befolkningsindikator i alt,befolkning_indikator
Indikator bolig install. mangler,indikator_mangler
Indikator bolig under 60m2,indikator_boliger_u_60m2
Indikator gns. boligareal,indikator_gns_boligareal
Boligindikator i alt,bolig_indikator
Antal enlige med børn,antal_enlige_m_born
Procent enlige med børn,pct_enlige_m_born
Procent afvigelse fra kommune gns.,pct_afv_fra_kommune_snit
Afv. fra Kommunegennemsnittet,pct_afv_fra_kommune_snit
A antal stemmer,a_antal
B antal stemmer,b_antal
C antal stemmer,c_antal
F antal stemmer,f_antal
I antal stemmer,i_antal
O antal stemmer,o_antal
V antal stemmer,v_antal
Ø antal stemmer,oe_antal
Øvrige antal,oevrige_antal
Stemmer i alt,stemmer_ialt
Rode_nr,rode_nr
Afstemningsområde,'afstemningsomraade
rodenavn,rodenavn
bydel,bydel
rode_nr,rode_nr
distrikt_nr,distrikt_nr
antal_0_5,antal_0_5
pct_0_5,pct_0_5
antal_6_17,antal_6_17
pct_6_17,pct_6_17
antal_18_29,antal_18_29
pct_18_29,pct_18_29
antal_30_39,antal_30_39
pct_30_39,pct_30_39
antal_40_49,antal_40_49
pct_40_49,pct_40_49
antal_50_64,antal_50_64
pct_50_64,pct_50_64
antal_over_65,antal_over_65
Pct. point afv. fra kommune gennemsnitet,pct_afv_fra_kommune_snit
Distrikt_nr,distrikt_nr
Distrikt_navn,distrikt_navn
Indikator,indikator
Tryghedskategorier,tryghedsbehov_2012
Tryghed,tryghed
Tryghedskategorie,tryghed
Navn test,institutionsnavn
Samarbejdspartnere,samarb
Henvendelse,henvendelse
Brugere,brugere
Gruppe,gruppe
Samarbejde,samarb
Sagsbehandler,sagsbeh
Opfølgningsdato,opflg_dato
Celle ID,cell_key
Lokalområde,lokalomraade
KKorg nummer,kkorgnr
"NB! Datasættet er ufuldstændigt, da der ikke er angivet korrekte adresser i KKorg!",'http://kkorgoversigt/'
Link til plejecenterets hjemmeside,www
Link til stressklinikkens hjemmeside,www
Link til sundhedshusets hjemmeside,www
Motionsform,kategorinavn
Målgruppe,koen
- Køn,aldersgruppe
- Aldersgruppe,saerlig_maalgruppe
- Særlig målgruppe,arrangoer
Arrangør,adresse
Vejmidtetype,vejmidtetype
"Antal 0 årige, 2017",ant_0_aar_2017
"Antal 0 årige, 2018",ant_0_aar_2018
"Antal 0 årige, 2019",ant_0_aar_2019
Stativ type,stativ_type
Arbejds-/mobiltlf.nr.,mobil_arb_nr
Antal køretøjer kl.7-19,ktj_7_19
Antal cykler kl.7-19,cykler_7_19
Fodgænger kl. 7-19,fod_7_19
Fodgænger gennemsnit kl. 10-18,fod_gns_10_18
Linje,linje
Ny linje,ny_linje
Linjer,linjer
Betjening,betjening
projekt år,prj_aar
Link til skråparkeringsprojekter,tegning
Vis tællerapport for område '+omraade,link
Optælling '+mdr_aar,link
Udført år,projekttype
Opgaven,udfoert
Antal lovlige P-pladser kl.12,straekning
Antal parkerede biler kl.12,lovlig_p_kl_12
Belægningsprocent kl.12,parkerede_biler_kl_12
Antal lovlige P-pladser kl.17,straekning
Antal parkerede biler kl.17,lovlig_p_kl_17
Belægningsprocent kl.17,parkerede_biler_kl_17
Antal lovlige P-pladser kl.22,straekning
Antal parkerede biler kl.22,lovlig_p_kl_22
Belægningsprocent kl.22,parkerede_biler_kl_22
Zone navn,zone_navn
Antal beboere over 18 år,antal_befolkning_over_18
Antal biler,antal_biler
Max kapacitet,maxkapacit
Kontaktoplysninger,kontaktopl
Regels t.,regels_t
Rutenumer,rute_nr
PlusNet,plusnet
Grøn cykelrute,groen_cykelrute_navn
Supercykelsti,supercykelsti_navn
Byrumstype,byrumstype
Metro,metro
Sum af pladser,sumpladser
sumcykelpa,sumcykelpa
sumcykelud,sumcykelud
sumladcykl,sumladcykl
sumcykel_s,sumcykel_s
sum_m_l,sum_m_l
sumcyk_dif,sumcyk_dif
areal,areal
sum_100m2,sum_100m2
CVF nr.,cvf_nr
Fra vejnavn,fra_vejnav
Til vejnavn,til_vejnav
Rute type,rute_type
Rutedel_status,rutedel_status
Vejid,vejid
Highway,highway
Cycleway,cycleway
Cycleway_l,cycleway_l
Cycleway_r,cycleway_r
Surface,surface
Rute ID,ruteid
Rute kategori,rute_kategori
Rute_status,rute_status
Stativpladser,pladser
Cykler i stativ,cykelpaapl
Cykler uden for stativ,cykeludenf
Ladcykler,ladcykler
Cykler sum,cykel_sum
Cykler sum inkl. ladcykler,sum_m_lad
Cykler differens,cyk_diff
Belægningsprocent,belaegningspct
Registreret,oprettet
Vedligeholdelsespligt,vedligeholdelsespligt
Edoc,edoc
Kaj nr.,kajnr
Konstruktion,konstruktionstype
Vedligehold,vedlh_af
Vedligehold regning,vedlh_regn
Vej nr.,vej_nr
Anvendtudstyrbetegnelse nr.,anvendtudstyrbetegnelse
Lampe type,lampstyle
Anlægs id,anlaegid
Ag nr.,ag_nr
Signal gruppe,gruppe_nr
Dato for tilladelse,opret_dato
Linjenavn,directionn
Linjevariant,linevar
Antal retninger,directionc
Første stoppested,firststop
Sidste stoppested,laststop
